SKUÉRÅ[Éh,ç›å…êîó 
231310021213668,1
231310020823219,1
231310040823255,1
231310040823455,2
210410000549132,1
210410000549272,1
245410022079219,1
245410022079319,1
231410000813619,1
231410000813819,1
231410000814219,1
245410001633872,1
232410001633672,0
232410001633619,0
231410000259226,1
231410000259262,1
231410000259382,2
240410001940019,1
245410001940005,1
245410001940014,1
231410020813632,1
231410020813832,0
231410020814232,0
231410040913832,0
231410030914068,0
231420010524214,0
231510001213672,0
232510001213619,1
220510001219372,0
245510001213655,0
210510012073675,0
245510011213419,0
